# LJ_rc3_VS_kT	LJ_rc3_VS_c   	LJ_rc3_LS_kT  	LJ_rc3_LS_c   	LJ_rc4_VS_kT  	LJ_rc4_VS_c   	LJ_rc4_LS_kT  	LJ_rc4_LS_c   	WHDF_rc2_VS_kT	WHDF_rc2_VS_c 	WHDF_rc2_LS_kT	WHDF_rc2_LS_c 	WHDF_rc12_kT  	WHDF_rc12_c   	
              	              	1.20000000e+00	2.05173866e-04	              	              	1.20000000e+00	1.96050679e-04	              	              	1.20000000e+00	2.25878416e-04	5.75000000e-01	4.70081975e-05
              	              	1.22000000e+00	1.97979159e-04	              	              	1.22000000e+00	1.90340933e-04	              	              	1.22000000e+00	2.08231388e-04	5.80000000e-01	4.99075987e-05
              	              	1.24000000e+00	1.90940874e-04	              	              	1.24000000e+00	1.83548966e-04	              	              	1.24000000e+00	1.91927750e-04	5.85000000e-01	5.29026334e-05
              	              	1.26000000e+00	1.84420648e-04	              	              	1.26000000e+00	1.77384516e-04	              	              	1.26000000e+00	1.77091638e-04	5.90000000e-01	5.58925988e-05
              	              	1.28000000e+00	1.77451381e-04	              	              	1.28000000e+00	1.71020191e-04	              	              	1.28000000e+00	1.64565441e-04	5.95000000e-01	5.87457178e-05
              	              	1.30000000e+00	1.70645683e-04	              	              	1.30000000e+00	1.65053115e-04	              	              	1.30000000e+00	1.53182545e-04	6.00000000e-01	6.15583964e-05
              	              	1.32000000e+00	1.64582995e-04	              	              	1.32000000e+00	1.59811416e-04	              	              	1.32000000e+00	1.40871602e-04	6.20000000e-01	7.36525594e-05
              	              	1.34000000e+00	1.58244680e-04	              	              	1.34000000e+00	1.53663965e-04	              	              	1.34000000e+00	1.29646891e-04	6.40000000e-01	8.59809629e-05
              	              	1.36000000e+00	1.52219111e-04	              	              	1.36000000e+00	1.47932347e-04	              	              	1.36000000e+00	1.19727741e-04	6.60000000e-01	9.75584873e-05
              	              	1.38000000e+00	1.46913354e-04	              	              	1.38000000e+00	1.42433357e-04	              	              	1.38000000e+00	1.11563198e-04	6.80000000e-01	1.09161382e-04
              	              	1.40000000e+00	1.42363599e-04	              	              	1.40000000e+00	1.38585840e-04	              	              	1.40000000e+00	1.04576021e-04	7.00000000e-01	1.19622192e-04
              	              	1.42000000e+00	1.37304802e-04	              	              	1.42000000e+00	1.33665491e-04	              	              	              	              	7.20000000e-01	1.30333420e-04
              	              	1.44000000e+00	1.32222404e-04	              	              	1.44000000e+00	1.28748834e-04	              	              	              	              	7.40000000e-01	1.39637365e-04
              	              	1.46000000e+00	1.26738453e-04	              	              	1.46000000e+00	1.23959023e-04	              	              	              	              	7.60000000e-01	1.48496601e-04
              	              	1.48000000e+00	1.22713062e-04	              	              	1.48000000e+00	1.19876782e-04	              	              	              	              	7.80000000e-01	1.56614893e-04
              	              	1.50000000e+00	1.17602864e-04	              	              	1.50000000e+00	1.15511053e-04	              	              	              	              	8.00000000e-01	1.64659338e-04
              	              	              	              	              	              	              	              	              	              	              	              	8.20000000e-01	1.71400127e-04
              	              	              	              	              	              	              	              	              	              	              	              	8.40000000e-01	1.77318249e-04
              	              	              	              	              	              	              	              	              	              	              	              	8.60000000e-01	1.82171889e-04
              	              	              	              	              	              	              	              	              	              	              	              	8.80000000e-01	1.87105045e-04
              	              	              	              	              	              	              	              	              	              	              	              	9.00000000e-01	1.91212916e-04
              	              	              	              	              	              	              	              	              	              	              	              	9.20000000e-01	1.95441709e-04
              	              	              	              	              	              	              	              	              	              	              	              	9.40000000e-01	1.98216818e-04
              	              	              	              	              	              	              	              	              	              	              	              	9.60000000e-01	2.00444201e-04
              	              	              	              	              	              	              	              	              	              	              	              	9.80000000e-01	2.02952965e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.00000000e+00	2.04422938e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.02000000e+00	2.05263207e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.04000000e+00	2.07169141e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.06000000e+00	2.07136462e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.08000000e+00	2.08332486e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.10000000e+00	2.08188380e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.12000000e+00	2.08240822e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.14000000e+00	2.08193926e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.16000000e+00	2.07942466e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.18000000e+00	2.06352458e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.20000000e+00	2.06452305e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.22000000e+00	2.05707669e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.24000000e+00	2.04723413e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.26000000e+00	2.03439228e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.28000000e+00	2.02146818e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.30000000e+00	2.01369422e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.32000000e+00	1.99621765e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.34000000e+00	1.98681630e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.36000000e+00	1.96909966e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.38000000e+00	1.95906028e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.40000000e+00	1.93608845e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.42000000e+00	1.93011488e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.44000000e+00	1.90564334e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.46000000e+00	1.89126685e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.48000000e+00	1.87989702e-04
              	              	              	              	              	              	              	              	              	              	              	              	1.50000000e+00	1.85877405e-04
